"Nome","Volume Médio (3m)","Valor de Mercado","Receita","Relação P/L","Beta"
"Johnson Controls","5,6M","81,11B","23,97B","43,55","1,43"
"Cummins","939,46K","74,66B","33,67B","29,54","1,12"
"Allstate","1,69M","55,98B","67,69B","5,44","0,235"
"Sempra Energy","3,92M","56,56B","13,71B","26,80","0,74"
"Devon Energy","9,43M","26,78B","16,55B","10,19","0,65"
"Conagra Brands","11,17M","9,35B","11,23B","-93,98","-0,01"
"TJX","5,56M","172,57B","58,98B","34,45","0,75"
"FirstEnergy","4,67M","27,14B","14,28B","20,35","0,65"
"Globe Life","506,48K","11,7B","5,99B","10,29","0,464"
"Rtx Corp","5,11M","262,75B","88,60B","39,60","0,44"
"PulteGroup","1,82M","25,78B","17,31B","12,10","1,34"
"Valero Energy","3,26M","59,21B","122,69B","25,63","0,77"
"Boston Scientific","12,05M","115,14B","20,07B","38,92","0,657"
"Capital One Financial","4,65M","135,6B","32,78B","64,71","1,13"
"PG E","22,59M","35,78B","24,76B","13,67","0,37"
"Norfolk Southern","1,25M","68,88B","12,18B","24,09","1,33"
"Aflac","2,39M","60,93B","17,16B","16,66","0,662"
"Equity Residential","2,27M","24,1B","3,08B","20,37","0,76"
"Air Products","1,63M","63,12B","12,21B","-189,54","0,89"
"Principal Financial","1,37M","20,98B","15,80B","13,90","0,89"
"Texas Instruments","7,81M","203,15B","17,68B","41,27","0,99"
"HP Inc","15,62M","17,58B","55,30B","7,23","1,22"
"Honeywell","4,28M","148,47B","37,44B","31,10","0,93"
"AMD","40,4M","313,85B","34,64B","76,70","1,95"
"M&T Bank","1,06M","35,52B","10,49B","13,77","0,58"
"Mosaic","7,35M","8,81B","11,89B","7,27","0,94"
"Revvity","1,51M","11,28B","2,86B","48,14","1,09"
"Las Vegas Sands","5,94M","38,5B","13,02B","24,34","0,96"
"Freeport-McMoran","18,93M","85,04B","25,92B","39,09","1,45"
"AutoZone","163,53K","59,73B","19,29B","25,09","0,40"
"Sysco","3,5M","40,53B","82,65B","22,95","0,60"
"Ameren","1,71M","28,35B","8,64B","20,21","0,59"
"Eaton","3,01M","137,75B","27,45B","34,93","1,18"
"Salesforce Inc","9,01M","178B","40,32B","25,30","1,25"
"Consolidated Edison","2,12M","39,3B","16,59B","19,05","0,36"
"The AES","8,31M","11,1B","12,09B","10,31","1,00"
"Textron","1,61M","16,36B","14,80B","18,13","1,00"
"U.S. Bancorp","9,65M","91,88B","30,97B","12,81","1,09"
"Visa A","7,22M","627,32B","41,39B","30,90","0,81"
"Baker Hughes","8,19M","56,6B","27,73B","22,18","0,89"
"Yum! Brands","2,16M","44,62B","8,21B","28,60","0,657"
"Marsh McLennan","2,71M","90,94B","26,98B","22,28","0,75"
"Kimco Realty","4,98M","14,72B","2,12B","26,18","1,06"
"Ecolab","1,31M","81,34B","15,89B","41,46","0,99"
"EOG Resources","4,16M","61,04B","22,65B","11,26","0,50"
"Aon","1,08M","73,65B","17,18B","20,32","0,83"
"Hasbro","1,69M","13,39B","4,36B","-23,89","0,55"
"Bank of New York","3,53M","82,94B","20,11B","16,29","1,11"
"Slb NV","17,38M","74,03B","35,71B","20,89","0,70"
"Rockwell Automation","904,34K","45,73B","8,57B","48,90","1,51"
"PepsiCo","8,16M","228,95B","93,93B","27,70","0,416"
"UnitedHealth","8,66M","243,26B","447,57B","20,20","0,43"
